1614170615	0	1614170615
1614170615	7	1614170620
1614170620	14	1614170625
1614170625	21	1614170630
1614170630	28	1614170635
1614170635	35	1614170640
1614170640	42	1614170645
1614170645	47	1614170650
1614170650	50	1614170950
1614170950	49	1614170956
1614170956	48	1614170957
1614170957	47	1614170965
1614170965	44	1614170977
1614170977	39	1614170984
1614170984	38	1614170993
1614170993	37	1614170995
1614170995	36	1614170996
1614170996	35	1614170999
1614170999	34	1614171000
1614171000	32	1614171005
1614171005	30	1614171006
1614171006	25	1614171009
1614171009	24	1614171011
1614171011	23	1614171012
1614171012	22	1614171013
1614171013	21	1614171014
1614171014	20	1614171015
1614171015	18	1614171016
1614171016	17	1614171022
1614171022	15	1614171024
1614171024	13	1614171026
1614171026	12	1614171036
1614171036	10	1614171039
1614171039	9	1614171040
1614171040	8	1614171041
1614171041	6	1614171042
1614171042	5	1614171051
1614171051	4	1614171064
1614171064	3	1614171070
1614171070	2	1614171073
1614171073	1	1614171078
