offline_datapoint_2 1614144332 0.000
offline_datapoint_7 1614144332 0.000
offline_datapoint_4 1614144332 0.000
offline_datapoint_0 1614144332 0.000
offline_datapoint_5 1614144332 0.000
offline_datapoint_1 1614144332 0.000
offline_datapoint_6 1614144333 2576384.000
offline_datapoint_3 1614144333 15347712.000
offline_datapoint_2 1614144334 0.000
offline_datapoint_7 1614144334 0.520
offline_datapoint_4 1614144334 0.000
offline_datapoint_0 1614144334 10674.131
offline_datapoint_5 1614144334 0.000
offline_datapoint_1 1614144334 747.099
offline_datapoint_6 1614144336 2576384.000
offline_datapoint_3 1614144336 15347712.000
offline_datapoint_2 1614144337 0.000
offline_datapoint_7 1614144337 0.520
offline_datapoint_4 1614144337 0.000
offline_datapoint_0 1614144337 10678.789
offline_datapoint_5 1614144337 0.000
offline_datapoint_1 1614144337 747.425
offline_datapoint_6 1614144339 2576384.000
offline_datapoint_3 1614144339 15347712.000
offline_datapoint_2 1614144340 0.000
offline_datapoint_7 1614144340 0.000
offline_datapoint_4 1614144340 0.000
offline_datapoint_0 1614144340 0.000
offline_datapoint_5 1614144340 0.000
offline_datapoint_1 1614144340 0.000
offline_datapoint_6 1614144342 2576384.000
offline_datapoint_3 1614144342 15347712.000
offline_datapoint_2 1614144343 0.000
offline_datapoint_7 1614144343 0.000
offline_datapoint_4 1614144343 0.000
offline_datapoint_0 1614144343 10687.214
offline_datapoint_5 1614144343 0.000
offline_datapoint_1 1614144343 747.945
offline_datapoint_6 1614144345 2576384.000
offline_datapoint_3 1614144345 15347712.000
offline_datapoint_2 1614144346 0.000
offline_datapoint_7 1614144346 0.000
offline_datapoint_4 1614144346 0.000
offline_datapoint_0 1614144346 0.000
offline_datapoint_5 1614144346 0.000
offline_datapoint_1 1614144346 0.000
offline_datapoint_6 1614144348 2576384.000
offline_datapoint_3 1614144348 15347712.000
offline_datapoint_2 1614144349 0.000
offline_datapoint_7 1614144349 0.000
offline_datapoint_4 1614144349 0.000
offline_datapoint_0 1614144349 10680.817
offline_datapoint_5 1614144349 0.000
offline_datapoint_1 1614144349 748.057
offline_datapoint_6 1614144351 2576384.000
offline_datapoint_3 1614144351 15347712.000
offline_datapoint_2 1614144352 0.000
offline_datapoint_7 1614144352 0.000
offline_datapoint_4 1614144352 0.000
