1614169533	0	1614169534
1614169534	3	1614169538
1614169538	6	1614169543
1614169543	9	1614169548
1614169548	12	1614169553
1614169553	15	1614169559
1614169559	18	1614169564
1614169564	24	1614169568
1614169568	27	1614169569
1614169569	30	1614169888
1614169888	29	1614169924
1614169924	28	1614169925
1614169925	26	1614169926
1614169926	25	1614169933
1614169933	23	1614169934
1614169934	22	1614169936
1614169936	20	1614169940
1614169940	19	1614169942
1614169942	17	1614169943
1614169943	16	1614169946
1614169946	14	1614169949
1614169949	13	1614169950
1614169950	11	1614169951
1614169951	10	1614169952
1614169952	7	1614169956
1614169956	5	1614169959
1614169959	4	1614169963
1614169963	3	1614169964
1614169964	2	1614169965
